Source title;CiteScore;Highest percentile;2021-24 Citations;2021-24 Documents;% Cited;SNIP;SJR;Publisher
Asian Journal of Business Ethics;4,4;"96.0%
31/854
Philosophy";399;90;66;1,129;0,532;Springer Nature
i-com;4,4;"83.0%
91/535
Communication";411;93;75;0,772;0,376;Walter de Gruyter
Systems Research and Behavioral Science;4,3;"82.0%
50/285
General Social Sciences";1108;256;82;1,019;0,465;John Wiley & Sons
World Economy;4,3;"86.0%
100/738
Political Science and International Relations";2490;575;69;1,256;0,803;John Wiley & Sons
Management Communication Quarterly;4,3;"82.0%
95/535
Communication";533;124;81;1,594;1,185;SAGE
Asian Review of Accounting;4,3;"68.0%
105/333
Finance";558;130;77;1,114;0,456;Emerald Publishing
Accounting and Business Research;4,3;"61.0%
71/182
Accounting";548;128;80;1,212;0,852;Taylor & Francis
Journal of Psychology;4,3;"77.0%
373/1620
Education";536;126;78;1,009;0,929;Taylor & Francis
Journal of International Food and Agribusiness Marketing;4,3;"62.0%
151/404
Food Science";531;123;79;0,778;0,396;Taylor & Francis
Contemporary Economics;4,3;"85.0%
98/674
Social Sciences (miscellaneous)";505;117;67;0,72;0,443;University of Economics and Human Sciences, Warsaw
World Journal of Entrepreneurship, Management and Sustainable Development;4,3;"95.0%
56/1371
Cultural Studies";462;108;59;0,544;0,362;World Association for Sustainable Development
Research in Organizational Behavior;4,3;"67.0%
56/169
Experimental and Cognitive Psychology";146;34;71;1,524;2,416;Emerald Publishing
International Journal of Health Governance;4,3;"85.0%
18/117
Paleontology";512;119;72;0,618;0,476;Emerald Publishing
Management and Sustainability;4,3;"70.0%
62/208
Business, Management and Accounting (miscellaneous)";211;49;82;0,47;0,332;Emerald Publishing
International Review on Public and Nonprofit Marketing;4,3;"69.0%
223/731
Economics and Econometrics";617;145;79;1,024;0,613;Springer Nature
Information Resources Management Journal;4,2;"78.0%
63/287
Library and Information Sciences";266;63;67;0,398;0,263;IGI Global Publishing
System Dynamics Review;4,2;"83.0%
110/674
Social Sciences (miscellaneous)";322;77;78;1,542;0,804;John Wiley & Sons
International Journal of Cross Cultural Management;4,2;"95.0%
58/1371
Cultural Studies";414;98;74;1,132;0,743;SAGE
Foundations and Trends in Entrepreneurship;4,2;"69.0%
227/731
Economics and Econometrics";114;27;74;0,922;1,03;Now Publishers Inc
Brazilian Journal of Operations and Production Management;4,2;"65.0%
137/402
Industrial and Manufacturing Engineering";532;128;73;0,55;0,367;Associacao Brasileira de Engenharia de Producao
Enlightening Tourism;4,2;"51.0%
73/151
Tourism, Leisure and Hospitality Management";243;58;69;0,346;0,269;Universidad de Huelva
Scandinavian Journal of Management;4,2;"59.0%
104/256
Applied Psychology";432;102;72;1,059;1,11;Elsevier
Humanities and Social Sciences Communications;4,2;"99.0%
2/176
General Arts and Humanities";14131;3327;60;1,443;0,81;Springer Nature
International Journal of Auditing;4,1;"80.0%
57/284
General Economics, Econometrics and Finance";517;127;73;1,209;0,573;John Wiley & Sons
Journal of Contingencies and Crisis Management;4,1;"58.0%
58/139
Management Information Systems";1234;301;60;1,187;0,658;John Wiley & Sons
Economic Inquiry;4,1;"67.0%
238/731
Economics and Econometrics";1252;306;58;1,332;1,122;John Wiley & Sons
Social Marketing Quarterly;4,1;"67.0%
239/731
Economics and Econometrics";282;69;74;0,701;0,608;SAGE
Journal of Accounting, Auditing and Finance;4,1;"76.0%
62/260
Economics, Econometrics and Finance (miscellaneous)";645;157;87;1,002;0,631;SAGE
International Journal of Managerial Finance;4,1;"68.0%
65/208
Business, Management and Accounting (miscellaneous)";684;167;69;0,98;0,526;Emerald Publishing
Journal of Entrepreneurship and Public Policy;4,1;"77.0%
65/288
Urban Studies";339;83;72;0,95;0,592;Emerald Publishing
Pacific Accounting Review;4,1;"67.0%
110/333
Finance";525;127;83;0,74;0,48;Emerald Publishing
Journal of Property Investment and Finance;4,1;"79.0%
59/284
General Economics, Econometrics and Finance";563;139;71;1,122;0,524;Emerald Publishing
Journal of Global Mobility;4,1;"59.0%
183/451
Business and International Management";434;105;74;0,914;0,759;Emerald Publishing
ACM Transactions on Economics and Computation;4,1;"82.0%
52/293
Statistics and Probability";255;62;65;1,244;0,708;Association for Computing Machinery
Career Development Quarterly;4,1;"63.0%
81/218
General Psychology";410;100;74;1,2;0,707;John Wiley & Sons
Journal of Consumer Policy;4,1;"69.0%
64/208
Business, Management and Accounting (miscellaneous)";373;91;75;1,079;0,598;Springer Nature
Journal of Systems and Information Technology;4,1;"59.0%
57/139
Management Information Systems";325;79;75;0,841;0,558;Emerald Publishing
Managerial Finance;4,1;"66.0%
111/333
Finance";1519;368;67;0,932;0,546;Emerald Publishing
Technological Sustainability;4,1;"58.0%
127/305
Management of Technology and Innovation";246;60;78;1,016;0,531;Emerald Publishing
ECONOMICS - Innovative and Economics Research Journal;4,1;"80.0%
56/284
General Economics, Econometrics and Finance";523;127;70;1,062;0,438;Walter de Gruyter
China Journal of Accounting Research;4,1;"66.0%
112/333
Finance";473;115;82;1,015;0,804;Sun Yat-sen (Zhongshan) University
International Journal of Stress Management;4;"80.0%
131/668
General Medicine";487;123;75;0,838;0,963;American Psychological Association
Industrial Relations;4;"68.0%
20/61
Industrial Relations";275;68;74;1,317;0,931;John Wiley & Sons
Abacus;4;"57.0%
77/182
Accounting";426;107;60;1,148;0,484;John Wiley & Sons
Labour Economics;4;"66.0%
242/731
Economics and Econometrics";1933;478;71;1,604;1,879;Elsevier
Sustainable Futures;4;"79.0%
303/1497
Sociology and Political Science";1401;349;62;1,389;0,923;Elsevier
Journal of Media Business Studies;4;"81.0%
102/535
Communication";255;64;72;1,043;0,552;Taylor & Francis
Quality Management Journal;4;"61.0%
87/225
General Business, Management and Accounting";240;60;75;0,879;0,499;Taylor & Francis
Qualitative Market Research;4;"49.0%
109/215
Marketing";538;136;76;0,779;0,579;Emerald Publishing
Journal of Enabling Technologies;4;"76.0%
39/165
Rehabilitation";258;65;62;0,675;0,371;Emerald Publishing
Journal of Information Technology Management;4;"66.0%
64/190
Information Systems and Management";1083;274;64;0,503;0,197;University of Tehran
4OR;4;"69.0%
60/197
Computational Theory and Mathematics";394;99;75;1,312;0,749;Springer Nature
Central European Management Journal;4;"84.0%
115/738
Political Science and International Relations";467;118;64;0,705;0,459;Emerald Publishing
International Journal of Business Science and Applied Management;4;"58.0%
187/451
Business and International Management";191;48;77;0,548;0,399;International Journal of Business Science and Applied Management
Journal of Futures Markets;3,9;"65.0%
256/731
Economics and Econometrics";1282;329;69;1,083;0,632;John Wiley & Sons
Journal of Electronic Commerce in Organizations;3,9;"59.0%
207/507
Computer Networks and Communications";198;51;86;0,373;0,279;IGI Global Publishing
Public Organization Review;3,9;"90.0%
111/1105
Law";1022;262;64;0,743;0,457;Springer Nature
International Journal of Knowledge Management;3,9;"57.0%
60/139
Management Information Systems";335;85;68;0,728;0,404;IGI Global Publishing
Service Science;3,9;"66.0%
123/361
Modeling and Simulation";270;70;71;0,689;0,859;INFORMS Institute for Operations Research and the Management Sciences
Real Estate Economics;3,9;"64.0%
257/731
Economics and Econometrics";814;209;72;1,368;1,116;John Wiley & Sons
Journal of Accounting Education;3,9;"73.0%
425/1620
Education";365;94;72;1,296;0,437;Elsevier
International Journal of Law and Management;3,9;"89.0%
113/1105
Law";518;134;69;0,909;0,382;Emerald Publishing
Journal of Entrepreneurship;3,9;"65.0%
255/731
Economics and Econometrics";376;96;67;0,75;0,609;SAGE
Museum Management and Curatorship;3,9;"97.0%
18/676
Visual Arts and Performing Arts";576;147;76;1,493;0,555;Taylor & Francis
Journal of Nonprofit and Public Sector Marketing;3,9;"49.0%
110/215
Marketing";383;98;78;1,094;0,583;Taylor & Francis
Journal of Human Resources in Hospitality and Tourism;3,9;"56.0%
103/234
Organizational Behavior and Human Resource Management";442;113;77;0,831;0,547;Taylor & Francis
Engineering Management in Production and Services;3,9;"64.0%
142/402
Industrial and Manufacturing Engineering";557;144;76;0,639;0,414;Walter de Gruyter
International Journal of Event and Festival Management;3,9;"60.0%
90/225
General Business, Management and Accounting";441;113;72;0,893;0,58;Emerald Publishing
Construction Economics and Building;3,9;"65.0%
82/239
Building and Construction";337;86;57;1,041;0,43;Australian Institute of Quantity Surveyors
Managerial and Decision Economics;3,8;"57.0%
192/451
Business and International Management";4121;1077;70;0,796;0,617;John Wiley & Sons
Business and Society Review;3,8;"78.0%
325/1497
Sociology and Political Science";467;123;65;0,729;0,486;John Wiley & Sons
Leadership and Policy in Schools;3,8;"73.0%
429/1620
Education";785;204;83;1,256;0,714;Taylor & Francis
Journal of Education and Work;3,8;"73.0%
436/1620
Education";668;175;75;1,147;0,642;Brill
Coaching;3,8;"58.0%
152/367
Developmental and Educational Psychology";226;60;75;1,006;0,522;Taylor & Francis
International Journal of Spa and Wellness;3,8;"49.0%
77/151
Tourism, Leisure and Hospitality Management";268;71;73;0,55;0,379;Taylor & Francis
South Asian Journal of Human Resources Management;3,8;"54.0%
108/234
Organizational Behavior and Human Resource Management";214;57;77;0,766;0,44;SAGE
International Journal of Crowd Science;3,8;"75.0%
8/30
Decision Sciences (miscellaneous)";352;93;68;0,655;0,407;Tsinghua University Press
Business, Management and Economics Engineering;3,8;"73.0%
69/260
Economics, Econometrics and Finance (miscellaneous)";304;80;69;0,608;0,341;Vilnius Gediminas Technical University
International Journal of Production Management and Engineering;3,8;"64.0%
144/402
Industrial and Manufacturing Engineering";231;61;75;1,03;0,411;Universidad Politecnica de Valencia
International Journal of Applied Ceramic Technology;3,8;"53.0%
206/443
Condensed Matter Physics";4595;1215;78;0,689;0,423;John Wiley & Sons
Employee Responsibilities and Rights Journal;3,8;"56.0%
22/49
Human Factors and Ergonomics";362;96;74;0,932;0,564;Springer Nature
Financial Markets and Portfolio Management;3,8;"62.0%
124/333
Finance";244;65;58;0,949;0,423;Springer Nature
Frontiers in Sports and Active Living;3,8;"90.0%
48/524
Anthropology";6631;1750;66;1,085;0,864;Frontiers Media S.A.
Journal of ICT Standardization;3,8;"64.0%
68/190
Information Systems and Management";332;87;60;0,61;0,352;River Publishers
Schmalenbach Journal of Business Research;3,8;"77.0%
65/284
General Economics, Econometrics and Finance";285;75;68;0,766;0,524;Springer Nature
Management Systems in Production Engineering;3,8;"64.0%
143/402
Industrial and Manufacturing Engineering";750;196;72;0,673;0,298;Walter de Gruyter
International Journal of Information System Modeling and Design;3,7;"56.0%
207/474
Information Systems";220;60;55;0,445;0,214;IGI Global Publishing
Journal of Behavioral Decision Making;3,7;"82.0%
108/630
Arts and Humanities (miscellaneous)";767;207;67;1,105;1,064;John Wiley & Sons
Research Journal of Textile and Apparel;3,7;"63.0%
148/402
Industrial and Manufacturing Engineering";571;154;82;1,139;0,374;Emerald Publishing
Journal of Agricultural and Food Industrial Organization;3,7;"63.0%
269/731
Economics and Econometrics";186;50;64;0,896;0,359;Walter de Gruyter
Business: Theory and Practice;3,7;"52.0%
235/496
Strategy and Management";750;204;63;0,653;0,318;Vilnius Gediminas Technical University
International Food and Agribusiness Management Review;3,7;"56.0%
176/404
Food Science";673;182;71;0,752;0,426;Wageningen Academic Publishers
American Health and Drug Benefits;3,7;"61.0%
125/320
Health Policy";74;20;65;0,722;0,303;Engage Healthcare Communications, Inc.
Journal of Evolutionary Economics;3,7;"62.0%
272/731
Economics and Econometrics";646;176;77;0,869;0,654;Springer Nature
Journal of Global Optimization;3,7;"74.0%
170/665
Applied Mathematics";1764;479;70;1,461;0,807;Springer Nature
Tourism and Hospitality;3,7;"80.0%
133/674
Social Sciences (miscellaneous)";745;201;61;0,905;0,449;Multidisciplinary Digital Publishing Institute (MDPI)
Journal of Advertising Research;3,7;"79.0%
112/535
Communication";396;106;68;0,716;0,825;The Advertising Research Foundation
Work Organisation, Labour and Globalisation;3,7;"64.0%
22/61
Industrial Relations";197;53;64;0,729;0,432;Pluto Journals
Agricultural Finance Review;3,7;"74.0%
60/231
Agricultural and Biological Sciences (miscellaneous)";498;135;75;0,87;0,545;Emerald Publishing
Disaster Prevention and Management;3,7;"68.0%
120/376
Health (social science)";594;162;65;0,98;0,554;Emerald Publishing
Journal of Innovation Economics and Management;3,7;"63.0%
267/731
Economics and Econometrics";355;95;76;0,607;0,425;De Boeck
Geojournal of Tourism and Geosites;3,7;"94.0%
75/1371
Cultural Studies";2862;783;75;0,664;0,296;Editura Universitatii din Oradea
Journal of Personnel Psychology;3,6;"53.0%
110/234
Organizational Behavior and Human Resource Management";288;79;73;1,053;0,952;Hogrefe Publishing
Contemporary Economic Policy;3,6;"65.0%
83/242
Public Administration";562;155;68;1,029;0,599;John Wiley & Sons
Journal of Education for Business;3,6;"70.0%
485/1620
Education";838;235;68;0,811;0,436;Taylor & Francis
Journal of Place Management and Development;3,6;"74.0%
74/288
Urban Studies";366;103;81;0,772;0,435;Emerald Publishing
Journal of Cultural Heritage Management and Sustainable Development;3,6;"90.0%
10/103
Conservation";642;179;78;1,03;0,398;Emerald Publishing
Journal of Revenue and Pricing Management;3,6;"62.0%
278/731
Economics and Econometrics";692;192;93;0,698;0,318;Springer Nature
Human Systems Management;3,6;"56.0%
98/225
General Business, Management and Accounting";752;211;66;0,543;0,391;SAGE
International Journal of the Economics of Business;3,6;"65.0%
72/208
Business, Management and Accounting (miscellaneous)";208;58;64;0,819;0,468;Taylor & Francis
Fiscal Studies;3,6;"62.0%
126/333
Finance";383;106;65;1,075;0,625;John Wiley & Sons
Evaluation and Program Planning;3,6;"68.0%
266/841
Geography, Planning and Development";1502;418;74;0,892;0,554;Elsevier
Journal of Small Business Strategy;3,6;"52.0%
236/496
Strategy and Management";417;115;71;0,721;0,584;Small Business Institute
Journal of Health Organization and Management;3,6;"58.0%
134/320
Health Policy";943;263;75;1,004;0,648;Emerald Publishing
Journal of Financial Regulation and Compliance;3,6;"61.0%
128/333
Finance";438;123;60;0,72;0,403;Emerald Publishing
Journal of Industrial and Business Economics;3,6;"74.0%
72/284
General Economics, Econometrics and Finance";467;129;72;1,164;0,732;Springer Nature
International Journal of Human Capital and Information Technology Professionals;3,5;"55.0%
72/160
Computer Science (miscellaneous)";170;49;78;0,289;0,24;IGI Global Publishing
Space and Culture;3,5;"93.0%
86/1371
Cultural Studies";606;175;77;1,375;0,502;SAGE
RAUSP Management Journal;3,5;"69.0%
492/1620
Education";297;84;73;0,808;0,417;Emerald Publishing
Security Journal;3,5;"87.0%
138/1105
Law";728;208;71;1,157;0,402;Springer Nature
Gadjah Mada International Journal of Business;3,5;"55.0%
203/451
Business and International Management";212;60;63;0,867;0,378;Gadjah Mada University
IEEE Transactions on Professional Communication;3,5;"89.0%
124/1212
Linguistics and Language";407;115;69;1,218;0,749;IEEE
